=========== RL AGENTS =============
Game----Time-----Winnner-----Moves-
1        44,503        0     95
2        291,464        1     912
3        87,27        0     211
4        46,153        2     161
5        78,826        1     224
6        137,575        0     227
7        3820,059        -1     2000
8        49,814        2     222
9        117,734        1     390
10        115,898        2     405
11        59,114        1     247
12        5610,795        -1     2000
13        3436,619        -1     2000
14        8215,282        -1     2000
15        100,306        2     435
16        7732,638        -1     2000
17        213,744        0     277
18        170,463        1     621
19        423,467        2     1665
20        37,015        2     159
21        31,5        0     101
22        186,482        1     345
23        604,774        2     413
24        45,986        2     203
25        122,378        0     211
26        338,632        0     344
27        462,666        0     370
28        110,385        1     475
29        189,21        0     265
30        26,704        2     114
31        15,028        0     57
32        33,924        2     147
33        129,65        1     430
34        160,437        1     383
35        587,684        0     562
36        325,129        1     1158
37        213,141        0     272
38        32,612        2     133
39        3059,434        -1     2000
40        537,621        1     655
41        832,43        0     550
42        51,249        2     204
43        4119,933        -1     2000
44        17,887        1     86
45        355,503        0     347
46        39,545        1     178
47        147,549        1     584
48        33,557        2     150
49        93,14        0     183
50        115,961        0     171
51        2584,634        -1     2000
